Title,Company,Location,Description,Date
Projects Sales Manager,Saint-Gobain Gyproc Zimbabwe,N/A,"To drive projects sales by developing and managing systems and processes for project pipeline sales growth, specification, customer relationship management, technical point of sale material development and skills development/ training to enhance customer service and specification of the Saint-Gobain solutions/ product offering.",2025-04-15
CASH TRANSFER SERVICES,Development Aid from People to People Zimbabwe(DAPP),N/A,"DAPP Zimbabwe invites experienced cash transfer service providers to submit tenders for a four-month project in Epworth District, Harare, funded by Humana People to People Spain. Project Details:  Duration: May 2025 - August 2025 (4 months)  Number of beneficiaries: 1,585  Service requirements: Mobile cash transfers on behalf …",2025-04-15
PROJECT ADMINISTRATION ASSISTANT,BRTI - Biomedical Research and Training Institute,N/A,The Manicaland Centre for Public Health Research at the Biomedical Research and Training Institute (BRTI) conducts scientific population-based research on the incidence and control of HIV and other communicable and non-communicable diseases in east Zimbabwe. Current research projects include a trial of a peer-led intervention to increase men’s use of …,2025-04-15
REGISTERED GENERAL NURSE: AIDS HEALTHCARE FOUNDATION    (BEITBRIDGE),AIDS HEALTHCARE FOUNDATION,N/A,"Background AHF is an international humanitarian organization operating in Zimbabwe, partnering with Ministry of Health and Child Care as well as local Authorities to create Centers of Excellence in HIV management in health facilities. AHF is looking for highly qualified registered general nurses to fill in the positions that have …",2025-04-15
Principal Officer: Catering Industry Pension Fund (CIPF),Catering Industry Pension Fund,N/A,"Site Harare, Zimbabwe Job Purpose We seek an exceptional and strategic leader to fill the role of Principal Officer. As the chief administrator of the Fund, you will provide strategic leadership, oversee investments, finance, human resources, and formulate organizational strategy, ensuring the Fund's overall success and sustainability.",2025-04-15
Chief Risk Analyst - Quantitative Risk and Data Analytics,Proserve Consulting,N/A,"QUANTITATIVE RISK & DATA ANALYTICS) Financial Services Sector Our client, a premier financial institution, is looking for a qualified and experienced candidate to fill the critical role of Chief Risk Analyst - Quantitative Risk and Data Analytics. The incumbent will be responsible for analysing data to understand and predict potential …",2025-04-15
MEDICAL OFFICERS: AIDS HEALTHCARE FOUNDATION  (CHITUNGWIZA; BEITBRIDGE; TSHOLOTSHO),AIDS HEALTHCARE FOUNDATION,N/A,"Background AHF is an international humanitarian organization operating in Zimbabwe, partnering with Ministry of Health and Child Care as well as local Authorities to create Centers of Excellence in HIV management in health facilities. AHF is looking for passionate and highly qualified Medical Officers to fill in the positions that …",2025-04-15
Project Coordinator MSc (x1) [High Horizons],CeSHHAR Zimbabwe,N/A,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States …",2025-04-15
Project Coordinator MSc (x1) [HAPI],CeSHHAR Zimbabwe,N/A,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States …",2025-04-15
Students on attachment,Mashambanzou Care Trust,N/A,"Mashambanzou Care Trust is looking for two (2) interns,",2025-04-15
