Title,Company,Location,Description,Date,Expiry Date
"Research Assistant x1, Harare/Mt Darwin",CeSHHAR Zimbabwe,N/A,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, the Gates Foundation, UK …",2025-04-15,N/A
Projects Sales Manager,Saint-Gobain Gyproc Zimbabwe,N/A,"To drive projects sales by developing and managing systems and processes for project pipeline sales growth, specification, customer relationship management, technical point of sale material development and skills development/ training to enhance customer service and specification of the Saint-Gobain solutions/ product offering.",2025-04-15,N/A
CASH TRANSFER SERVICES,Development Aid from People to People Zimbabwe(DAPP),N/A,"DAPP Zimbabwe invites experienced cash transfer service providers to submit tenders for a four-month project in Epworth District, Harare, funded by Humana People to People Spain. Project Details:  Duration: May 2025 - August 2025 (4 months)  Number of beneficiaries: 1,585  Service requirements: Mobile cash transfers on behalf …",2025-04-15,N/A
PROJECT ADMINISTRATION ASSISTANT,BRTI - Biomedical Research and Training Institute,N/A,The Manicaland Centre for Public Health Research at the Biomedical Research and Training Institute (BRTI) conducts scientific population-based research on the incidence and control of HIV and other communicable and non-communicable diseases in east Zimbabwe. Current research projects include a trial of a peer-led intervention to increase men’s use of …,2025-04-15,N/A
REGISTERED GENERAL NURSE: AIDS HEALTHCARE FOUNDATION    (BEITBRIDGE),AIDS HEALTHCARE FOUNDATION,N/A,"Background AHF is an international humanitarian organization operating in Zimbabwe, partnering with Ministry of Health and Child Care as well as local Authorities to create Centers of Excellence in HIV management in health facilities. AHF is looking for highly qualified registered general nurses to fill in the positions that have …",2025-04-15,N/A
Principal Officer: Catering Industry Pension Fund (CIPF),Catering Industry Pension Fund,N/A,"Site Harare, Zimbabwe Job Purpose We seek an exceptional and strategic leader to fill the role of Principal Officer. As the chief administrator of the Fund, you will provide strategic leadership, oversee investments, finance, human resources, and formulate organizational strategy, ensuring the Fund's overall success and sustainability.",2025-04-15,N/A
Chief Risk Analyst - Quantitative Risk and Data Analytics,Proserve Consulting,N/A,"QUANTITATIVE RISK & DATA ANALYTICS) Financial Services Sector Our client, a premier financial institution, is looking for a qualified and experienced candidate to fill the critical role of Chief Risk Analyst - Quantitative Risk and Data Analytics. The incumbent will be responsible for analysing data to understand and predict potential …",2025-04-15,N/A
MEDICAL OFFICERS: AIDS HEALTHCARE FOUNDATION  (CHITUNGWIZA; BEITBRIDGE; TSHOLOTSHO),AIDS HEALTHCARE FOUNDATION,N/A,"Background AHF is an international humanitarian organization operating in Zimbabwe, partnering with Ministry of Health and Child Care as well as local Authorities to create Centers of Excellence in HIV management in health facilities. AHF is looking for passionate and highly qualified Medical Officers to fill in the positions that …",2025-04-15,N/A
Project Coordinator MSc (x1) [High Horizons],CeSHHAR Zimbabwe,N/A,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States …",2025-04-15,N/A
Project Coordinator MSc (x1) [HAPI],CeSHHAR Zimbabwe,N/A,"CeSHHAR Zimbabwe is an organisation that specialises in population health research and programming, including on sexual and reproductive health and HIV/AIDS. CeSHHAR has an extensive national, regional, and international academic and community partnership network. CeSHHAR has a diverse range of funders which include the Wellcome Trust, Gates Foundation, United States …",2025-04-15,N/A
Students on attachment,Mashambanzou Care Trust,N/A,"Mashambanzou Care Trust is looking for two (2) interns,",2025-04-15,N/A
Accounting Graduate Trainee,First Pack Marketing,N/A,"We are looking for a Graduate Trainee to manage the financial book keeping of our business. The responsibility include analysing all financial activities ensuring compliance with accounting ,legal requirements and preparing budgets",2025-04-15,N/A
Rescuer,Spoton Towing & Recovery,N/A,Looking for a competent and qualified person to fill in the position of Rescuer that has arisen,2025-04-15,N/A
Sage Consultant,Olimem Enterprise Solutions ~~ 0,N/A,"Olimem Enterprise Solutions (Pvt) Limited is an accredited Sage Business partner with over two decades of experience providing premier payroll and accounting solutions. The company offers a wide array of Sage products, including Sage X3, Sage 300 people payroll, and Sage 300 people HR. As a long-standing Sage Pastel Software …",2025-04-15,N/A
Graduate Trainee Software Developer,wCyber Solutions (Pvt) Ltd,N/A,"Number of Positions: 1 wCyber Solution is seeking two passionate and highly motivated Graduate Trainee Software Developers to join our development team. This role offers an exciting opportunity to gain hands-on experience in software development while working on innovative projects. As a Graduate Trainee, you will collaborate with senior developers, …",2025-04-15,N/A
Cashier,Ledger Paints (Pvt) Ltd,N/A,WE ARE HIRING Cashier needed Join us at Ledger Paints a growing and dynamic organisation as a dedicated Cashier Company name: Ledger Paints Job role: Cashier Terms: Full time job Location: 38b Simon Mazorodze Rd Harare Responsibilities for Cashier • Providing friendly and efficient customer service • Operating cash registers …,2025-04-15,N/A
Accounts Assistant/ Accounting Assistant,Ledger Paints (Pvt) Ltd,N/A,WE ARE HIRING! Accounts assistant needed Join us at Ledger Paints a growing and dynamic organisation as a dedicated Accounting clerk Company name: Ledger Paints Job role Accounts assistant Terms: Full time job Location: 38b Simon Mazorodze Rd Harare,2025-04-15,N/A
Panel Beater,Bakers Inn,N/A,"Panel Beater Applications are invited for the PANEL BEATER vacancy that has arisen within Baker's Inn Sales & Distribution - Northern Region, Harare.",2025-04-15,N/A
Senior Finance andAdministration Officer,SAFIRE -Southern Alliance For Indigenous Resources,N/A,Duty Station: Harare Reporting to: Director Deadline: Friday 18 April 2025 SAFIRE Purpose: To facilitate Rural communities with resilient livelihoods in a sustainably managed natural environment. Position Summary: The Senior Finance and Administration Officer is responsible for establishing and managing efficient and effective finance and administrative systems for the organisation. …,2025-04-15,N/A
TOURISIM & HOSPITALITY TUTOR-BULAWAYO CAMPUS,Claremont Business School,N/A,Applications are invited from suitably qualified and experienced Tutors to teach CTH(Confederation of Tourism & Hospitality) modules at our Bulawayo Campus. This will be strictly on a part time basis.,2025-04-15,N/A
FRENCH LECTURER-BULAWAYO CAMPUS,Claremont Business School,N/A,Applications are invited from suitably qualified and experienced French Tutors to teach CTH(Confederation of Tourism & Hospitality) students at our Bulawayo Campus. This will be strictly on a part time basis.,2025-04-15,N/A
Area Sales Manager/ Business Development Manager,Five Star Industries,N/A,"Responsible for being a key point of contact for all Sales Operations related aspects (e.g. Field Sales, Customers etc) within assigned geographical ""Area/Territory"" and deliver set objectives/targets.",2025-04-15,N/A
Aluminium Fabrication and Computer Aided Design Instructior.,Ixar Mobile ~~ 0,N/A,"Training students in computer aided design and aluminum fabrication in order to be able to create products like windows, doors, doorframes, office partitions e.t.c",2025-04-15,N/A
Electronic Engineer/Technician,Ixar Mobile ~~ 0,N/A,"Training students in electronics repairs covering gadgets like cellphones, computers, inverters e.tc",2025-04-15,N/A
Heavy Machinery Truck Sales Executive,ST-ONE Machinery,N/A,"We are seeking a motivated and results-driven Heavy Machinery Sales Executive to join our dynamic sales team. The successful candidate will be responsible for promoting and selling Howo Trucks, a premier line of heavy-duty vehicles known for their reliability and performance. This position requires a deep understanding of the construction …",2025-04-15,N/A
Supply Chain Attachee (Mutare Branch),Nash Paints,N/A,"Nash Paints is looking for a Procurement, Purchasing and Supply Chains Management Attachee to join their organization.",2025-04-15,N/A
SALES AND MARKETING  INTERN,Nash Paints,N/A,Nash Paints is looking for a Sales and Marketing Attachees to join their organization.,2025-04-15,N/A
Sales Champion -Solar  Project,Nash Furnishers,N/A,"We are seeking a highly motivated and experienced Sales Champion to lead our solar project. The successful candidate will be responsible for driving sales growth, building relationships with key customers, and identifying new business opportunities in the solar industry",2025-04-15,N/A
Electrician Class 1,Zimasco (Pvt) Limited,N/A,"Zimasco (Pvt) Limited, a major player in Zimbabwe’s Ferrochrome Production sector, has some exciting and challenging career opportunities at its Shurugwi & South Dyke Division. Applications are invited from suitably qualified, competent and experienced individuals to fill the vacant posts in the Division on fixed-term employment contract basis, renewable subject …",2025-04-15,N/A
Inventory Controller,Zimasco (Pvt) Limited,N/A,"Zimasco (Pvt) Limited, a major player in Zimbabwe’s Ferrochrome Production sector, has some exciting and challenging career opportunities at its Shurugwi & South Dyke Division. Applications are invited from suitably qualified, competent and experienced individuals to fill the vacant posts in the Division on fixed-term employment contract basis, renewable subject …",2025-04-15,N/A
Chief Geologist,Zimasco (Pvt) Limited,N/A,"VACANCY NOTICE Zimasco (Pvt) Limited, a major player in Zimbabwe’s Ferrochrome sector, has an exciting and challenging career opportunity within its Shurugwi & South Dyke Mining Division. Applications are invited from suitably qualified, competent and experienced individuals to fill the vacant post of Chief Geologist on a 3 years fixed-term …",2025-04-15,N/A
"GIK & Stores Graduate Intern, World Vision Zimbabwe",World Vision,N/A,"World Vision Zimbabwe is seeking a highly motivated and detail-oriented Graduate Intern to support our Gifts-in-Kind (GIK) and Stores operations. This is an excellent opportunity to gain hands-on experience in inventory, logistics, and warehouse management in a dynamic humanitarian environment. Location: Suburbs Office, Bulawayo Duration: 2 Years •",2025-04-15,N/A
"Graduate Intern - People & Culture, World Vision Zimbabwe",World Vision,N/A,"* Location: Suburbs Office, Bulawayo Duration: 2 Years World Vision Zimbabwe is seeking a passionate and detail-oriented Graduate Intern - People & Culture to support HR operations across grants and program areas. This internship offers hands-on exposure to key HR functions in a fast-paced, purpose-driven environment.",2025-04-15,N/A
Technical Sales Representative(Harare),Shepco Industrial Supplies,N/A,We seek to engage a qualified and experienced individual to occupy the position of a Sales and Marketing Representative in Harare.,2025-04-15,N/A
Machine Operator,Isteel and Pump Solutions,N/A,1. Setting up and adjusting machines for production runs. 2. Ensuring machines are functioning accurately and efficiently. 3. Monitoring machines during operations to detect any malfunctions or irregularities. 4. Performing routine maintenance and minor repairs to keep machinery in optimal condition. 5. Adhering to safety guidelines and company standards at …,2025-04-15,N/A
Technical Sales Representative (Byo),Shepco Industrial Supplies,N/A,We seek to engage a qualified and experienced individual to fill in the position of a Technical Sales and Marketing Representative.,2025-04-15,N/A
Receptionist,Isteel and Pump Solutions,N/A,Applicants are invited from suitable qualified and experienced personnel to fill I the position of Receptionist.,2025-04-15,N/A
Gardner : SOS Hermann Gmeiner Maizelands Primary School,SOS Children's Villages Zimbabwe,N/A,"GARDNER SOS HERMANN GMEINER PRIMARY SCHOOL MAIZELANDS (Job Ref: SOSMZ/3/4/25) Position title: ​ ​Gardner Working location: ​​SOS Hermann Gmeiner Maizelands Primary School. Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the …",2025-04-15,N/A
Marketing Officer,Isteel and Pump Solutions,N/A,We are actively seeking a seasoned Marketing Officer.,2025-04-15,N/A
Cook : SOS Hermann Gmeiner Maizelands Primary School,SOS Children's Villages Zimbabwe,N/A,"COOK SOS HERMANN GMEINER PRIMARY SCHOOL MAIZELANDS (Job Ref: SOS/3/4/25) Position title: ​ ​Cook Working location: ​​SOS Hermann Gmeiner Maizelands Primary School. ​​​ Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect …",2025-04-15,N/A
Cleaner : SOS Hermann Gmeiner Maizelands Primary School.,SOS Children's Villages Zimbabwe,N/A,"CLEANER SOS HERMANN GMEINER PRIMARY SCHOOL MAIZELANDS (Job Ref: SOS/3/4/25) Position title: ​ ​Cleaner Working location: ​​SOS Hermann Gmeiner Maizelands Primary School. ​​ Context of the position Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect …",2025-04-15,N/A
Finance Intern x 1,SOS Children's Villages Zimbabwe,N/A,"About Established in 1949, SOS Children's Villages International (CVI) is a dynamic, international social development organization working globally to meet the needs and protect the interests and rights of children without parental care and those who are at the risk of losing it. SOS Children's Villages Association of Zimbabwe is …",2025-04-15,N/A
Marketing Attachees,Zambuko Trust (Pvt) Ltd,N/A,We are recruiting a Marketing attaches for our Kwekwe and Gweru Branches.,2025-04-15,N/A
Batching Plant Operator,Parrogate Zimbabwe (PVT) Ltd,N/A,The ideal candidate will be responsible for smooth operation of the batching plant and production of acceptable quality of premix concrete.,2025-04-15,N/A
Sales Representative,First Pack Marketing,N/A,"To achieve maximum sales profitability, growth and account penetration within an assigned territory and/or market segment by effectively selling the company’s products. Personally contacts and secures new business / customers",2025-04-15,N/A
Petrol Mechanic,Nash Paints,N/A,"Nash Paints Inc is looking for a skilled and experienced Petrol Mechanic to join their team. The successful candidate will be responsible for performing routine maintenance, repairs and overhauls on Petrol engines and related equipment. .",2025-04-15,N/A
DIESEL MECHANIC,Nash Paints,N/A,"Nash Paints Inc is looking for a skilled and experienced Diesel Mechanic to join their team. The successful candidate will be responsible for performing routine maintenance, repairs and overhauls on diesel engines and related equipment. .",2025-04-15,N/A
Senior Poultry Field Officer,Nova Feeds,N/A,Purpose Statement • To provide technical support and assistance to poultry farmers ensuring optimal production.,2025-04-15,N/A
